Target_genes	Nfe2l2|Average	SRX1606411|C2C12	SRX1606412|C2C12	SRX21026467|Cerebral_Cortex	SRX21026468|Cerebral_Cortex	SRX21026469|Cerebral_Cortex	SRX21026470|Cerebral_Cortex	SRX21026476|Cerebral_Cortex	SRX21026477|Cerebral_Cortex	SRX21026478|Cerebral_Cortex	SRX21026479|Cerebral_Cortex	SRX188820|CH12	SRX5006896|Esophagus	SRX5006897|Esophagus	SRX5006898|Esophagus	SRX3630637|Liver	SRX3630638|Liver	DRX036572|Macrophages	DRX036573|Macrophages	DRX036574|Macrophages	DRX036575|Macrophages	DRX036576|Macrophages	DRX036577|Macrophages	SRX1438291|Macrophages	SRX1438293|Macrophages	SRX1438295|Macrophages	SRX1438297|Macrophages	SRX1438299|Macrophages	SRX1438301|Macrophages	SRX13081923|MEF	SRX13081924|MEF	SRX13081925|MEF	SRX13081926|MEF	SRX2191407|MEF	SRX2191408|MEF	SRX188811|MEL	SRX18863834|RAW_264.7	STRING
Polr2b	12.888889	0	0	0	0	0	0	0	172	0	101	79	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Noa1	12.888889	0	0	0	0	0	0	0	172	0	101	79	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat2	12.888889	0	0	0	0	0	0	0	0	0	0	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat1	12.888889	0	0	0	0	0	0	0	0	0	0	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fads3	12.888889	0	0	0	85	0	0	0	181	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp28	12.861111	0	0	0	0	0	0	0	127	0	160	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnrc6c	12.861111	0	0	0	0	0	0	0	112	0	93	0	0	0	0	105	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thoc2l	12.861111	0	0	0	0	0	0	0	149	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Suclg2	12.861111	0	0	0	0	0	0	0	0	0	324	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rc3h2	12.861111	0	0	0	0	0	0	0	247	0	98	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Htra4	12.861111	0	0	0	0	0	140	0	110	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ces1d	12.861111	0	0	0	0	0	0	0	127	0	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sec22a	12.833333	0	0	0	0	0	0	0	117	0	51	0	0	0	0	181	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msmo1	12.833333	0	0	0	0	0	0	0	188	0	157	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hacd1	12.833333	0	0	0	0	0	0	0	112	0	108	0	0	0	0	122	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bri3	12.833333	0	0	0	0	0	0	0	160	0	94	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssh1	12.805556	0	0	0	0	0	0	0	217	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srgap1	12.805556	0	0	0	0	0	0	0	244	0	118	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a53	12.805556	0	0	0	0	0	0	0	0	0	100	150	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0
Sag	12.805556	0	0	0	117	0	142	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nab2	12.805556	0	0	0	160	0	85	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mapk8	12.805556	0	0	0	0	0	0	0	265	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hipk3	12.805556	0	0	0	0	0	0	0	221	0	141	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gal3st1	12.805556	0	0	0	139	0	164	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acoxl	12.805556	0	0	0	0	0	0	0	299	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp105	12.777778	0	0	0	0	0	70	0	214	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Umad1	12.777778	0	0	0	0	0	120	0	117	0	0	110	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tpd52l1	12.777778	0	0	0	0	0	0	0	180	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpa3	12.777778	0	0	0	0	0	120	0	117	0	0	110	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eci1	12.777778	0	0	0	0	0	0	0	309	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc91	12.777778	0	0	0	0	0	0	0	107	0	150	111	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp423	12.750000	0	0	0	0	0	176	0	139	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tex13c3	12.750000	0	0	0	172	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smarcd3	12.750000	0	0	0	88	0	0	0	168	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nkx2-6	12.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Madd	12.750000	0	0	0	0	0	0	0	214	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gnaq	12.750000	0	0	0	0	0	0	0	219	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13570	12.750000	0	0	0	152	0	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fdx1	12.750000	0	0	0	0	0	0	0	200	0	115	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr78	12.722222	0	0	0	0	0	0	0	81	0	0	0	0	0	0	265	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem131l	12.722222	0	0	0	0	0	0	0	100	0	141	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0
Rasgrp3	12.722222	0	0	0	0	0	0	0	181	0	78	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parp1	12.722222	0	0	0	0	0	0	0	139	0	175	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nlrp6	12.722222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gphn	12.722222	0	0	0	0	0	0	0	177	0	109	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gnpnat1	12.722222	0	0	0	0	0	0	0	175	0	183	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhcr7	12.722222	0	0	0	0	0	108	0	225	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx3x	12.722222	0	0	0	0	0	0	0	115	0	123	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0
Psmd10	12.694444	0	0	0	0	0	0	0	0	0	0	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ostm1	12.694444	0	0	0	0	0	0	0	146	0	111	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npas2	12.694444	0	0	0	0	0	0	0	305	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myo5b	12.694444	0	0	0	87	0	152	0	100	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspb1	12.694444	0	0	0	0	0	0	0	119	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp26b1	12.694444	0	0	0	0	0	0	0	263	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atg4a	12.694444	0	0	0	0	0	0	0	0	0	0	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arl14epl	12.694444	0	0	0	196	0	109	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2e1	12.666667	0	0	0	0	0	0	0	281	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem64	12.666667	0	0	0	0	0	0	0	206	0	121	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thy1	12.666667	0	0	0	130	0	0	0	157	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pea15a	12.666667	0	0	0	0	0	0	0	330	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nxph1	12.666667	0	0	0	0	0	0	0	137	0	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mfn1	12.666667	0	0	0	0	0	0	0	107	0	179	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpr150	12.666667	0	0	0	0	0	0	0	191	0	180	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12500	12.666667	0	0	0	0	0	0	0	154	0	157	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ampd2	12.666667	0	0	0	0	0	0	0	154	0	157	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prpsap2	12.638889	0	0	0	0	0	0	0	265	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfasc	12.638889	0	0	0	0	0	0	0	455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mlycd	12.638889	0	0	0	0	0	0	0	195	0	159	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hdac10	12.638889	0	0	0	0	0	0	0	225	0	0	86	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxl4	12.638889	0	0	0	0	0	0	0	271	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F13b	12.638889	0	0	0	219	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110040N11Rik	12.638889	0	0	0	0	0	0	0	197	0	160	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr83os	12.611111	0	0	0	0	0	70	0	102	0	199	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr83	12.611111	0	0	0	0	0	70	0	102	0	199	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Topbp1	12.611111	0	0	0	0	0	0	0	135	0	133	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Niban3	12.611111	0	0	0	0	0	0	0	0	0	184	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Man2b1	12.611111	0	0	0	0	0	70	0	102	0	199	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc10b	12.611111	0	0	0	0	0	78	0	184	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm428	12.611111	0	0	0	0	0	0	0	225	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gch1	12.611111	0	0	0	0	0	0	0	97	0	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fkbp14	12.611111	0	0	0	0	0	0	0	246	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ern1	12.611111	0	0	0	0	0	0	0	157	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0
Dlec1	12.611111	0	0	0	0	0	0	0	97	0	0	232	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crkl	12.611111	0	0	0	0	0	0	0	121	0	116	96	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Btc	12.611111	0	0	0	0	0	0	0	173	0	137	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc1a2	12.583333	0	0	0	0	0	0	0	173	0	208	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lax1	12.583333	0	0	0	0	0	89	0	202	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kctd14	12.583333	0	0	0	100	0	0	0	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csrnp1	12.583333	0	0	0	98	0	0	0	199	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col5a3	12.583333	0	0	0	0	0	99	0	125	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Car2	12.583333	0	0	0	0	0	0	0	304	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arnt	12.583333	0	0	0	0	0	0	0	130	0	0	112	0	0	0	97	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4932438H23Rik	12.583333	0	0	0	0	0	0	0	204	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0
Zrsr2	12.555556	0	0	0	0	0	0	0	131	0	0	0	0	0	0	214	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp34	12.555556	0	0	0	137	0	0	0	176	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttc7	12.555556	0	0	0	0	0	0	0	163	0	181	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tns2	12.555556	0	0	0	0	0	0	0	293	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem176b	12.555556	0	0	0	0	0	126	0	201	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem176a	12.555556	0	0	0	0	0	126	0	201	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rsbn1l	12.555556	0	0	0	0	0	0	0	149	0	95	0	0	0	0	112	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Poglut3	12.555556	0	0	0	0	0	0	0	193	0	134	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nrbp1	12.555556	0	0	0	0	0	0	0	216	0	127	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kyat3	12.555556	0	0	0	0	0	0	0	107	0	100	70	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gldc	12.555556	0	0	0	0	0	0	0	216	0	126	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fmnl2	12.555556	0	0	0	0	0	0	0	154	0	225	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elmo1	12.555556	0	0	0	0	0	138	0	226	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2cd2l	12.555556	0	0	0	123	0	0	0	172	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vsig10l	12.527778	0	0	0	0	0	0	0	285	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcaim	12.527778	0	0	0	77	0	0	0	158	0	142	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpap1	12.527778	0	0	0	0	0	0	0	165	0	79	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
Pum2	12.527778	0	0	0	0	0	134	0	164	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phf20	12.527778	0	0	0	76	0	0	0	218	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr955	12.527778	0	0	0	309	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccng1	12.527778	0	0	0	0	0	0	0	196	0	132	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alg1	12.527778	0	0	0	59	0	0	0	88	0	98	121	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acss2	12.527778	0	0	0	0	0	0	0	175	0	94	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abca8a	12.527778	0	0	0	0	0	84	0	211	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zyg11b	12.500000	0	0	0	0	0	0	0	169	0	138	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nmd3	12.500000	0	0	0	0	0	0	0	187	0	174	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krt10	12.500000	0	0	0	0	0	0	0	0	0	90	228	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ireb2	12.500000	0	0	0	0	0	0	0	0	0	0	93	0	0	0	276	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gcsh	12.500000	0	0	0	86	0	140	0	94	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif2s3x	12.500000	0	0	0	0	0	0	0	276	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zcchc2	12.472222	0	0	0	0	0	0	0	137	0	81	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0
Xpo6	12.472222	0	0	0	0	0	0	0	233	0	89	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snx7	12.472222	0	0	0	0	0	0	0	253	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1cb	12.472222	0	0	0	0	0	82	0	147	0	124	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phf11b	12.472222	0	0	0	0	0	0	0	0	0	0	449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo31	12.472222	0	0	0	0	0	0	0	0	0	0	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0
Eml4	12.472222	0	0	0	0	0	0	0	162	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0
Cda	12.472222	0	0	0	205	0	0	0	154	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yy1	12.444444	0	0	0	0	0	0	0	0	0	0	259	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbca	12.444444	0	0	0	0	0	0	0	187	0	166	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sri	12.444444	0	0	0	0	0	0	0	213	0	92	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc66a2	12.444444	0	0	0	0	0	109	0	163	0	0	66	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhox2c	12.444444	0	0	0	321	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Qser1	12.444444	0	0	0	0	0	0	0	224	0	100	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lsm11	12.444444	0	0	0	0	0	0	0	138	0	118	100	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Igfbp4	12.444444	0	0	0	132	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0
Dynll1	12.444444	0	0	0	80	0	0	0	86	0	0	159	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crh	12.444444	0	0	0	0	0	0	0	191	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caprin1	12.444444	0	0	0	0	0	0	0	185	0	67	0	0	0	0	94	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trip13	12.416667	0	0	0	0	0	0	0	158	0	122	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Th	12.416667	0	0	0	0	0	0	0	214	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl7a	12.416667	0	0	0	0	0	0	0	162	0	0	98	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtch2	12.416667	0	0	0	0	0	0	0	102	0	180	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Med22	12.416667	0	0	0	0	0	0	0	162	0	0	98	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lyrm9	12.416667	0	0	0	0	0	0	0	119	0	126	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0
Lmln	12.416667	0	0	0	0	0	0	0	220	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhl8	12.416667	0	0	0	0	0	0	0	106	0	121	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jph2	12.416667	0	0	0	0	0	0	0	158	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0
Fzd2	12.416667	0	0	0	202	0	96	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fasn	12.416667	0	0	0	0	0	0	0	159	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0
Chpt1	12.416667	0	0	0	0	0	0	0	187	0	133	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brd9	12.416667	0	0	0	0	0	0	0	158	0	122	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bmf	12.416667	0	0	0	0	0	0	0	242	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aldh2	12.416667	0	0	0	97	0	0	0	137	0	83	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vps26b	12.388889	0	0	0	0	0	0	0	128	0	0	153	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
